Unique Identifier,Connector Name
tempo,Tempo
teradata,Teradata
the_trade_desk,The Trade Desk
tiger_pistol,Tiger Pistol
tiktok,Tiktok
tiktok_ads,Tiktok Ads
trello,Trello
trendkite,TrendKite
twilio,Twilio
twitter,Twitter
twitter_ads,Twitter Ads
typeform,Typeform
us_census,US Census
uservoice,UserVoice
verizon_media,Verizon Media
verta_media,Verta Media
vertica,Vertica
voluum,Voluum
web_table_(html_table),Web Table (HTML table)
webhooks,Webhooks
woocommerce,WooCommerce
wordpress,Wordpress
workday,Workday
workday_hcm,Workday HCM
xero,Xero
yotpo,Yotpo
youtube,YouTube
youtube_analytics,YouTube Analytics
zencart,Zencart
zendesk,Zendesk
zendesk_chat,Zendesk Chat
zendesk_sell,Zendesk Sell
zendesk_sunshine,Zendesk Sunshine
zendesk_support,Zendesk Support
zendesk_talk,Zendesk Talk
zoho,Zoho
zoho_crm,Zoho CRM
zoom,Zoom
zuora,Zuora
zuora_sandbox,Zuora Sandbox
